Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
66;21100903821;"International Journal of Society, Culture and Language";journal;"23292210";"Lulu Press Inc";Yes;Yes;0,431;Q2;14;48;154;2162;270;154;1,75;45,04;54,96;0;United States;Northern America;"Lulu Press Inc";"2019-2025";"Anthropology (Q1); Linguistics and Language (Q1); Education (Q2); Gender Studies (Q2)";"Social Sciences"
67;21101028118;"Journal of Gender-Based Violence";journal;"23986808, 23986816";"Bristol University Press";No;No;0,425;Q2;21;39;99;1855;166;89;1,32;47,56;82,29;0;United Kingdom;Western Europe;"Bristol University Press";"2017-2026";"Gender Studies (Q2); Law (Q2)";"Social Sciences"
68;19700169834;"Gender and Language";journal;"1747633X, 17476321";"University of Toronto Press";No;No;0,419;Q2;23;5;74;319;109;73;1,29;63,80;87,50;0;United Kingdom;Western Europe;"University of Toronto Press";"2008, 2010, 2013-2025";"Linguistics and Language (Q1); Philosophy (Q1); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
69;19900191819;"Women's Studies in Communication";journal;"07491409, 2152999X";"Taylor and Francis Ltd.";No;No;0,417;Q2;39;35;92;1641;132;81;1,34;46,89;73,53;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1977-1979, 1981-2026";"Communication (Q2); Gender Studies (Q2)";"Social Sciences"
70;19700169884;"NORA - Nordic Journal of Feminist and Gender Research";journal;"08038740, 1502394X";"Routledge";No;No;0,409;Q2;37;51;87;2638;126;73;1,58;51,73;87,64;2;United Kingdom;Western Europe;"Routledge";"1993-2026";"Gender Studies (Q2)";"Social Sciences"
71;23596;"Feminist Review";journal;"14664380, 01417789";"Palgrave Macmillan Ltd.";No;No;0,408;Q2;66;22;97;717;115;83;1,18;32,59;95,24;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1994-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
72;12100155734;"Ethnography and Education";journal;"17457823, 17457831";"Routledge";No;No;0,399;Q2;29;53;73;2484;119;70;1,33;46,87;65,82;1;United Kingdom;Western Europe;"Routledge";"2010-2026";"Cultural Studies (Q1); Education (Q2); Gender Studies (Q2)";"Social Sciences"
73;21101030204;"Journal of Women's Entrepreneurship and Education";journal;"18211283, 24060674";"Institute of Economic Sciences";Yes;No;0,399;Q2;12;25;81;1026;191;73;2,47;41,04;50,98;0;Serbia;Eastern Europe;"Institute of Economic Sciences";"2019-2025";"Business, Management and Accounting (miscellaneous) (Q2); Education (Q2); Gender Studies (Q2)";"Business, Management and Accounting; Social Sciences"
74;21100938252;"Journal of Women and Gender in Higher Education";journal;"26379112, 26379120";"Taylor and Francis Inc.";No;No;0,398;Q2;20;23;59;1284;101;56;1,53;55,83;71,43;0;United States;Northern America;"Taylor and Francis Inc.";"2019-2026";"Education (Q2); Gender Studies (Q2)";"Social Sciences"
75;21101107566;"Jurnal Ilmiah Islam Futura";journal;"14121190, 24077542";"Universitas Islam Negeri Ar-Raniry";Yes;Yes;0,386;Q2;10;20;63;995;130;63;2,34;49,75;32,08;0;Indonesia;Asiatic Region;"Universitas Islam Negeri Ar-Raniry";"2019-2026";"Arts and Humanities (miscellaneous) (Q1); Philosophy (Q1); Religious Studies (Q1); Education (Q2); Gender Studies (Q2)";"Arts and Humanities; Social Sciences"
76;21101306748;"Journal of Digital Social Research";journal;"20031998";"DIGSUM (Centre for Digital Social Research), Umea University";Yes;No;0,383;Q2;10;17;83;993;151;83;1,66;58,41;55,56;0;Sweden;Western Europe;"DIGSUM (Centre for Digital Social Research), Umea University";"2021-2025";"Communication (Q2); Gender Studies (Q2); Sociology and Political Science (Q2)";"Social Sciences"
