Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
54;22861;"Political Psychology";journal;"0162895X, 14679221";"Wiley-Blackwell Publishing Ltd";No;No;1,938;Q1;136;166;194;11474;1209;194;5,06;69,12;42,62;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
55;67863;"Party Politics";journal;"13540688, 14603683";"SAGE Publications Ltd";No;No;1,930;Q1;98;134;271;8045;1102;270;3,62;60,04;26,69;8;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Sociology and Political Science (Q1)";"Social Sciences"
56;24519;"Environmental Politics";journal;"09644016, 17438934";"Routledge";No;No;1,900;Q1;105;125;180;7742;1371;172;6,67;61,94;39,06;11;United Kingdom;Western Europe;"Routledge";"1992-2026";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
57;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";"Academic Press Inc.";No;No;1,896;Q1;190;100;302;6806;1298;298;3,74;68,06;47,32;0;United States;Northern America;"Academic Press Inc.";"1965-2026";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
58;27663;"Journal of Conflict Resolution";journal;"15528766, 00220027";"SAGE Publications Inc.";No;No;1,893;Q1;138;87;217;6122;807;217;3,26;70,37;27,32;9;United States;Northern America;"SAGE Publications Inc.";"1957-2026";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
59;5700166179;"Politics and Gender";journal;"1743923X, 17439248";"Cambridge University Press";No;No;1,847;Q1;65;82;166;5232;717;146;3,23;63,80;66,18;0;United Kingdom;Western Europe;"Cambridge University Press";"2005-2026";"Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
60;14925;"Gender and Society";journal;"08912432, 15523977";"SAGE Publications Inc.";No;No;1,839;Q1;140;30;95;1935;506;90;4,62;64,50;75,56;2;United States;Northern America;"SAGE Publications Inc.";"1987-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
61;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";"Oxford University Press";No;No;1,808;Q1;83;46;133;3123;837;115;5,99;67,89;30,11;4;United Kingdom;Western Europe;"Oxford University Press";"2008-2026";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
62;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";"Now Publishers Inc";No;No;1,792;Q1;51;16;46;1108;94;44;2,00;69,25;6,90;1;United States;Northern America;"Now Publishers Inc";"2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
63;24592;"European Journal of International Relations";journal;"14603713, 13540661";"SAGE Publications Ltd";No;No;1,776;Q1;117;68;122;6528;590;121;5,07;96,00;37,86;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
64;16956;"Cities";journal;"02642751";"Elsevier Ltd";No;No;1,772;Q1;162;790;1755;61173;15154;1749;8,07;77,43;41,21;12;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2026";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)";"Business, Management and Accounting; Social Sciences"
65;21100264650;"European Political Science Review";journal;"17557739, 17557747";"Cambridge University Press";Yes;No;1,743;Q1;59;57;108;4156;465;108;4,00;72,91;30,23;0;United Kingdom;Western Europe;"Cambridge University Press";"2009-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
66;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";"Wiley-Liss Inc.";No;No;1,741;Q1;109;84;195;3934;487;142;2,22;46,83;32,52;15;United States;Northern America;"Wiley-Liss Inc.";"1981-2026";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
67;23464;"China Journal";journal;"18358535, 13249347";"University of Chicago Press";No;No;1,736;Q1;64;10;30;243;131;28;3,84;24,30;27,78;1;Australia;Pacific Region;"University of Chicago Press";"1995-2026";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
68;15673;"Journal of Rural Studies";journal;"07430167";"Elsevier Ltd";No;No;1,731;Q1;156;346;771;26012;6031;771;6,67;75,18;49,41;11;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2026";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
69;25654;"Post-Soviet Affairs";journal;"1060586X";"Taylor and Francis Ltd.";No;No;1,707;Q1;61;35;87;2573;458;84;4,64;73,51;62,12;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
70;17560;"Social Problems";journal;"15338533, 00377791";"Oxford University Press";No;No;1,695;Q1;125;105;179;7594;810;178;4,11;72,32;61,29;2;United States;Northern America;"Oxford University Press";"1971, 1973-1975, 1977-1984, 1988-1990, 1993-2026";"Sociology and Political Science (Q1)";"Social Sciences"
71;25848;"International Studies Quarterly";journal;"14682478, 00208833";"Oxford University Press";No;No;1,643;Q1;133;104;353;8003;1405;353;3,40;76,95;45,15;8;United States;Northern America;"Oxford University Press";"1971-1974, 1976, 1978, 1982-1983, 1985, 1987-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
72;27364;"Population and Development Review";journal;"17284457, 00987921";"Wiley-Blackwell Publishing Ltd";No;No;1,616;Q1;128;58;170;4765;778;136;3,31;82,16;51,97;8;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2026";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
73;27944;"Review of International Studies";journal;"14699044, 02602105";"Cambridge University Press";No;No;1,609;Q1;100;110;182;15037;903;179;4,01;136,70;45,81;0;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1981-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
74;22867;"Political Research Quarterly";journal;"1938274X, 10659129";"SAGE Publications Inc.";No;No;1,607;Q1;111;103;329;6848;1013;328;2,72;66,49;35,23;1;United States;Northern America;"SAGE Publications Inc.";"1948, 1950-1952, 1954-1955, 1957-1967, 1969-1977, 1979-1986, 1988-2026";"Sociology and Political Science (Q1)";"Social Sciences"
75;14427;"European Sociological Review";journal;"02667215, 14682672";"Oxford University Press";No;No;1,604;Q1;121;61;196;4134;809;196;3,37;67,77;37,41;11;United Kingdom;Western Europe;"Oxford University Press";"1985-2025";"Sociology and Political Science (Q1)";"Social Sciences"
76;13358;"Sociology of Education";journal;"00380407, 19398573";"SAGE Publications Inc.";No;No;1,601;Q1;123;21;53;1418;257;52;4,71;67,52;39,53;2;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2026";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
77;22328;"Organizational Dynamics";journal;"00902616";"Elsevier B.V.";No;No;1,594;Q1;86;76;121;137;764;118;7,82;1,80;41,51;0;United Kingdom;Western Europe;"Elsevier B.V.";"1972-1995, 1997-2026";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
78;19088;"Governance";journal;"09521895, 14680491";"Wiley-Blackwell Publishing Ltd";No;No;1,581;Q1;103;107;195;7537;1084;192;5,55;70,44;36,21;12;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2026";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
79;18130;"Sociology";journal;"00380385, 14698684";"SAGE Publications Ltd";No;No;1,558;Q1;148;107;230;5973;1138;228;4,72;55,82;62,24;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1967-2026";"Sociology and Political Science (Q1)";"Social Sciences"
80;22857;"Political Geography";journal;"09626298";"Elsevier B.V.";No;No;1,557;Q1;127;131;509;9364;2475;458;4,60;71,48;48,46;10;United Kingdom;Western Europe;"Elsevier B.V.";"1983, 1992-2026";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
